task,duration,scenario,value_setting,first_run_proposer,may_meet_again_context,long_term_type
bargaining,one_shot,pure_math,unbounded,coin_flip,never_meet_again,
bargaining,one_shot,pure_math,unbounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,pure_math,unbounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,pure_math,unbounded,system_assigned,never_meet_again,
bargaining,one_shot,pure_math,unbounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,pure_math,unbounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,pure_math,bounded,coin_flip,never_meet_again,
bargaining,one_shot,pure_math,bounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,pure_math,bounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,pure_math,bounded,system_assigned,never_meet_again,
bargaining,one_shot,pure_math,bounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,pure_math,bounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,splitting_coins,unbounded,coin_flip,never_meet_again,
bargaining,one_shot,splitting_coins,unbounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,splitting_coins,unbounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,splitting_coins,unbounded,system_assigned,never_meet_again,
bargaining,one_shot,splitting_coins,unbounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,splitting_coins,unbounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,splitting_coins,bounded,coin_flip,never_meet_again,
bargaining,one_shot,splitting_coins,bounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,splitting_coins,bounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,splitting_coins,bounded,system_assigned,never_meet_again,
bargaining,one_shot,splitting_coins,bounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,splitting_coins,bounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_seller_as_proposer,unbounded,coin_flip,never_meet_again,
bargaining,one_shot,making_deals_seller_as_proposer,unbounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,making_deals_seller_as_proposer,unbounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_seller_as_proposer,unbounded,system_assigned,never_meet_again,
bargaining,one_shot,making_deals_seller_as_proposer,unbounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,making_deals_seller_as_proposer,unbounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_seller_as_proposer,bounded,coin_flip,never_meet_again,
bargaining,one_shot,making_deals_seller_as_proposer,bounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,making_deals_seller_as_proposer,bounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_seller_as_proposer,bounded,system_assigned,never_meet_again,
bargaining,one_shot,making_deals_seller_as_proposer,bounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,making_deals_seller_as_proposer,bounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_buyer_as_proposer,unbounded,coin_flip,never_meet_again,
bargaining,one_shot,making_deals_buyer_as_proposer,unbounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,making_deals_buyer_as_proposer,unbounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_buyer_as_proposer,unbounded,system_assigned,never_meet_again,
bargaining,one_shot,making_deals_buyer_as_proposer,unbounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,making_deals_buyer_as_proposer,unbounded,system_assigned,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_buyer_as_proposer,bounded,coin_flip,never_meet_again,
bargaining,one_shot,making_deals_buyer_as_proposer,bounded,coin_flip,may_meet_again_alternating,
bargaining,one_shot,making_deals_buyer_as_proposer,bounded,coin_flip,may_meet_again_fixed_role,
bargaining,one_shot,making_deals_buyer_as_proposer,bounded,system_assigned,never_meet_again,
bargaining,one_shot,making_deals_buyer_as_proposer,bounded,system_assigned,may_meet_again_alternating,
bargaining,one_shot,making_deals_buyer_as_proposer,bounded,system_assigned,may_meet_again_fixed_role,
bargaining,long_term,pure_math,unbounded,coin_flip,,alternating_offer
bargaining,long_term,pure_math,unbounded,coin_flip,,fixed_role
bargaining,long_term,pure_math,unbounded,system_assigned,,fixed_role
bargaining,long_term,pure_math,bounded,coin_flip,,alternating_offer
bargaining,long_term,pure_math,bounded,coin_flip,,fixed_role
bargaining,long_term,pure_math,bounded,system_assigned,,fixed_role
bargaining,long_term,splitting_coins,unbounded,coin_flip,,alternating_offer
bargaining,long_term,splitting_coins,unbounded,coin_flip,,fixed_role
bargaining,long_term,splitting_coins,unbounded,system_assigned,,fixed_role
bargaining,long_term,splitting_coins,bounded,coin_flip,,alternating_offer
bargaining,long_term,splitting_coins,bounded,coin_flip,,fixed_role
bargaining,long_term,splitting_coins,bounded,system_assigned,,fixed_role
bargaining,long_term,making_deals_seller_as_proposer,unbounded,coin_flip,,alternating_offer
bargaining,long_term,making_deals_seller_as_proposer,unbounded,coin_flip,,fixed_role
bargaining,long_term,making_deals_seller_as_proposer,unbounded,system_assigned,,fixed_role
bargaining,long_term,making_deals_seller_as_proposer,bounded,coin_flip,,alternating_offer
bargaining,long_term,making_deals_seller_as_proposer,bounded,coin_flip,,fixed_role
bargaining,long_term,making_deals_seller_as_proposer,bounded,system_assigned,,fixed_role
bargaining,long_term,making_deals_buyer_as_proposer,unbounded,coin_flip,,alternating_offer
bargaining,long_term,making_deals_buyer_as_proposer,unbounded,coin_flip,,fixed_role
bargaining,long_term,making_deals_buyer_as_proposer,unbounded,system_assigned,,fixed_role
bargaining,long_term,making_deals_buyer_as_proposer,bounded,coin_flip,,alternating_offer
bargaining,long_term,making_deals_buyer_as_proposer,bounded,coin_flip,,fixed_role
bargaining,long_term,making_deals_buyer_as_proposer,bounded,system_assigned,,fixed_role
signaling,one_shot,pure_math,bounded,coin_flip,may_meet_again_alternating,
signaling,one_shot,pure_math,bounded,coin_flip,may_meet_again_fixed_role,
signaling,one_shot,pure_math,bounded,system_assigned,never_meet_again,
signaling,one_shot,grading_students,bounded,coin_flip,may_meet_again_alternating,
signaling,one_shot,grading_students,bounded,coin_flip,may_meet_again_fixed_role,
signaling,one_shot,grading_students,bounded,system_assigned,never_meet_again,
signaling,one_shot,selling_products,bounded,coin_flip,may_meet_again_alternating,
signaling,one_shot,selling_products,bounded,coin_flip,may_meet_again_fixed_role,
signaling,one_shot,selling_products,bounded,system_assigned,never_meet_again,
signaling,long_term,pure_math,bounded,coin_flip,,alternating_offer
signaling,long_term,pure_math,bounded,system_assigned,,fixed_role
signaling,long_term,grading_students,bounded,coin_flip,,alternating_offer
signaling,long_term,grading_students,bounded,system_assigned,,fixed_role
signaling,long_term,selling_products,bounded,coin_flip,,alternating_offer
signaling,long_term,selling_products,bounded,system_assigned,,fixed_role
